127.0.0.1 - - [09/Sep/2018:20:36:53 +0000] "GET /2018/09/09/hello-world/ HTTP/1.0" 200 57397 "http://wpsite1.local/2018/09/09/hello-world/" "WordPress/4.9.8; http://wpsite1.local"
127.0.0.1 - - [09/Sep/2018:20:36:59 +0000] "POST /wp-cron.php?doing_wp_cron=1536525417.9672698974609375000000 HTTP/1.0" 499 0 "http://wpsite1.local/wp-cron.php?doing_wp_cron=1536525417.9672698974609375000000" "WordPress/4.9.8; http://wpsite1.local"
127.0.0.1 - - [09/Sep/2018:20:46:45 +0000] "GET / HTTP/1.0" 200 53189 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:47 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://wpsite1.local/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:55 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:55 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:56 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fwpsite1.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2254 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:56 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8 HTTP/1.0" 200 104364 "http://wpsite1.local/wp-login.php?redirect_to=http%3A%2F%2Fwpsite1.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:46:56 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://wpsite1.local/wp-login.php?redirect_to=http%3A%2F%2Fwpsite1.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:47:06 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://wpsite1.local/wp-login.php?redirect_to=http%3A%2F%2Fwpsite1.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [09/Sep/2018:20:47:13 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://wpsite1.local/wp-login.php?redirect_to=http%3A%2F%2Fwpsite1.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
